date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-31 00:11:44,BigBird01558595,,0,1,0,"Tweet #168 12",,,,1266885032754515968,https://twitter.com/BigBird01558595/status/1266885032754515968
2020-05-31 00:10:41,BigBird01558595,,0,0,0,"Tweet #274 72",,,,1266884770623078400,https://twitter.com/BigBird01558595/status/1266884770623078400
2020-05-31 00:09:40,BigBird01558595,,0,0,0,"Tweet #23 111",,,,1266884512681779212,https://twitter.com/BigBird01558595/status/1266884512681779212
2020-05-31 00:08:38,BigBird01558595,,0,0,0,"Tweet #376 63",,,,1266884254790750208,https://twitter.com/BigBird01558595/status/1266884254790750208
2020-05-31 00:07:37,BigBird01558595,,0,0,0,"Tweet #333 202",,,,1266883996862091264,https://twitter.com/BigBird01558595/status/1266883996862091264
2020-05-31 00:06:35,BigBird01558595,,0,0,0,"Tweet #58 83",,,,1266883738362937344,https://twitter.com/BigBird01558595/status/1266883738362937344
2020-05-31 00:05:33,BigBird01558595,,0,0,0,"Tweet #282 88",,,,1266883480023162882,https://twitter.com/BigBird01558595/status/1266883480023162882
2020-05-31 00:04:32,BigBird01558595,,0,0,0,"Tweet #375 226",,,,1266883222132178944,https://twitter.com/BigBird01558595/status/1266883222132178944
2020-05-31 00:03:30,BigBird01558595,,0,0,0,"Tweet #225 38",,,,1266882964467732486,https://twitter.com/BigBird01558595/status/1266882964467732486
2020-05-31 00:02:29,BigBird01558595,,0,0,0,"Tweet #292 202",,,,1266882706182483969,https://twitter.com/BigBird01558595/status/1266882706182483969
2020-05-31 00:01:27,BigBird01558595,,0,0,0,"Tweet #315 201",,,,1266882447821737984,https://twitter.com/BigBird01558595/status/1266882447821737984
2020-05-31 00:00:26,BigBird01558595,,0,0,0,"Tweet #400 130",,,,1266882189595234304,https://twitter.com/BigBird01558595/status/1266882189595234304
2020-05-30 23:59:24,BigBird01558595,,0,0,0,"Tweet #221 163",,,,1266881931725230082,https://twitter.com/BigBird01558595/status/1266881931725230082
